id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.76,,,,,,,-1,0,-1,,,920.067627,29.613,30.931
hex_alex_centroids.77,,,,,,,-1,0,-1,,,108.383278,29.613,30.924
hex_alex_centroids.78,,,,,,,-1,0,-1,,,7.308068,29.613,30.91
hex_alex_centroids.79,,,,,,,-1,0,-1,,,223.979706,29.614,30.904
hex_alex_centroids.80,,,,,,,-1,0,-1,,,10.914024,29.614,30.897
hex_alex_centroids.81,,,,,,,-1,0,-1,,,333.893097,29.614,30.89
hex_alex_centroids.82,,,,,,,-1,0,-1,,,594.397888,29.615,30.877
hex_alex_centroids.83,,,,,,,-1,0,-1,,,817.181519,29.615,30.87
hex_alex_centroids.84,,,,,,,-1,0,-1,,,1015.058594,29.615,30.863
hex_alex_centroids.85,,,,,,,-1,0,-1,,,436.560883,29.615,30.856
hex_alex_centroids.86,,,,,,,-1,0,-1,,,23.818539,29.616,30.836
hex_alex_centroids.87,,,,,,,-1,0,-1,,,56.32798,29.616,30.829
hex_alex_centroids.88,,,,,,,-1,0,-1,,,8e-06,29.617,30.796
hex_alex_centroids.89,,,,,,,-1,0,-1,,,0.471595,29.618,30.789
hex_alex_centroids.90,,,,,,,-1,0,-1,,,0.046645,29.618,30.769
hex_alex_centroids.91,,,,,,,-1,0,-1,,,0.000103,29.619,30.762
hex_alex_centroids.92,,,,,,,-1,0,-1,,,0.000333,29.619,30.755
hex_alex_centroids.93,,,,,,,-1,0,-1,,,0.000642,29.619,30.748
hex_alex_centroids.94,,,,,,,-1,0,-1,,,2.540424,29.62,30.735
hex_alex_centroids.95,,,,,,,-1,0,-1,,,0.747816,29.62,30.728
hex_alex_centroids.96,,,,,,,-1,0,-1,,,0.753178,29.62,30.721
hex_alex_centroids.97,,,,,,,-1,0,-1,,,0.372587,29.62,30.714
hex_alex_centroids.98,,,,,,,-1,0,-1,,,26.479057,29.621,30.701
hex_alex_centroids.99,,,,,,,-1,0,-1,,,1.6e-05,29.621,30.694
hex_alex_centroids.100,,,,,,,-1,0,-1,,,1.5e-05,29.621,30.687
hex_alex_centroids.101,,,,,,,-1,0,-1,,,0.390354,29.621,30.681
hex_alex_centroids.102,,,,,,,-1,0,-1,,,4.796036,29.622,30.674
hex_alex_centroids.103,,,,,,,-1,0,-1,,,0.213584,29.622,30.66
hex_alex_centroids.104,,,,,,,-1,0,-1,,,0.419988,29.623,30.647
hex_alex_centroids.105,,,,,,,-1,0,-1,,,63.705151,29.617,30.995
hex_alex_centroids.106,,,,,,,-1,0,-1,,,29.171133,29.618,30.961
hex_alex_centroids.107,,,,,,,-1,0,-1,,,194.539505,29.619,30.954
hex_alex_centroids.108,,,,,,,-1,0,-1,,,42.819649,29.619,30.948
hex_alex_centroids.109,,,,,,,-1,0,-1,,,243.608627,29.619,30.934
hex_alex_centroids.110,,,,,,,-1,0,-1,,,125.367027,29.62,30.927
hex_alex_centroids.111,,,,,,,-1,0,-1,,,14.941032,29.62,30.921
hex_alex_centroids.112,,,,,,,-1,0,-1,,,2.424649,29.62,30.914
hex_alex_centroids.113,,,,,,,-1,0,-1,,,0.193549,29.62,30.907
hex_alex_centroids.114,,,,,,,-1,0,-1,,,0.104304,29.621,30.894
hex_alex_centroids.115,,,,,,,-1,0,-1,,,17.323223,29.621,30.887
hex_alex_centroids.116,,,,,,,-1,0,-1,,,228.196411,29.621,30.88
hex_alex_centroids.117,,,,,,,-1,0,-1,,,403.075714,29.621,30.873
hex_alex_centroids.118,,,,,,,-1,0,-1,,,17.186438,29.622,30.86
hex_alex_centroids.119,,,,,,,-1,0,-1,,,0.309942,29.622,30.853
hex_alex_centroids.120,,,,,,,-1,0,-1,,,30.741098,29.622,30.846
hex_alex_centroids.121,,,,,,,-1,0,-1,,,1.101704,29.623,30.84
hex_alex_centroids.122,,,,,,,-1,0,-1,,,55.888859,29.623,30.826
hex_alex_centroids.123,,,,,,,-1,0,-1,,,770.081909,29.623,30.819
hex_alex_centroids.124,,,,,,,-1,0,-1,,,0.004429,29.624,30.813
hex_alex_centroids.125,,,,,,,-1,0,-1,,,1e-06,29.624,30.806
hex_alex_centroids.126,,,,,,,-1,0,-1,,,423.635956,29.625,30.779
hex_alex_centroids.127,,,,,,,-1,0,-1,,,220.941681,29.626,30.745
hex_alex_centroids.128,,,,,,,-1,0,-1,,,0.329729,29.626,30.738
hex_alex_centroids.129,,,,,,,-1,0,-1,,,0.084541,29.626,30.732
hex_alex_centroids.130,,,,,,,-1,0,-1,,,0.006006,29.627,30.718
hex_alex_centroids.131,,,,,,,-1,0,-1,,,1.2e-05,29.627,30.711
hex_alex_centroids.132,,,,,,,-1,0,-1,,,0.000134,29.627,30.705
hex_alex_centroids.133,,,,,,,-1,0,-1,,,1.2e-05,29.628,30.698
hex_alex_centroids.134,,,,,,,-1,0,-1,,,8e-05,29.628,30.684
